ID,Gender,Age,Height,Weight,Body Shape,bkgApose,nobkgApose,bkgStandardPose,nobkgStandardPose,bkgTpose,nobkgTpose,bkgFreePose,nobkgFreePose,MidNeckCircumference,NeckCircumference1,ShoulderWidth,SleeveCircumference,ArmLength-1,BicepsCircumference,WristCircumference,BreastCircumference,UpperBreastCircumference,LowerBreastCircumference,WaistCircumference1,AbodomenCircumference,CoxaCircumference,HipCircumference,ThighCircumference,CalfCircumference,LegLength-1,FrontNeck2HipLength-1,BackNeck2HipLength-1,NeckCircumference-2,ArmLength-2,WaistCircumference-2,LegLength-2,FrontNeck2HipLength-2,BackNeck2HipLength-2,HeightOfChest,DistanceOfChest,NapeToWaist,Knee circumference,WidthOfBack,Coxa2HipBottom,UpperHipCircumference
1225,male,28,175,69,NaN,1150-5_1.png,NaN,1150-5_2.png,NaN,NaN,NaN,1150-5_7.jpg,NaN,36.5,42,43,46.5,54.5,29,17.5,88.5,92.5,NaN,77.8,83,92,99,58,38,103,69,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1226,male,32,175,69,NaN,1151-6_1.png,NaN,1151-6_2.png,NaN,NaN,NaN,1151-6_5.jpg,NaN,41,45,45.5,51,55.5,30.5,18,94,97,NaN,84,86,95,98,58,36.1,99,69,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1227,male,35,165,63,NaN,1152-7_1.png,NaN,1152-7_2.png,NaN,NaN,NaN,1152-7_7.jpg,NaN,42,43,45,46,53,28,16.5,93.5,94.5,NaN,83,85,85,94.5,52,34.5,100,64.5,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1228,female,27,158,50.3,hourglass,1153-8_1.png,NaN,1153-8_2.png,NaN,NaN,NaN,1153-8_8.jpg,NaN,31.5,34,40.5,36,54,25,15.3,80.5,79,68,64,69.5,79.5,89,48.5,36.2,92,58.5,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1229,male,35,171,66.5,NaN,1154-9_1.png,NaN,1154-9_2.png,NaN,NaN,NaN,1154-9_5.jpg,NaN,37,38,39,47,54.5,28,17.5,90,91,NaN,85,90.5,92,92.5,51.5,36,98,68,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1230,female,27,165,53.2,hourglass,1155-10_1.png,NaN,1155-10_2.png,NaN,NaN,NaN,1155-10_4.jpg,NaN,32.5,36.5,40.5,41,52,26.5,14.5,86,85.5,73,68,76,80,91,51,35,96,59,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1231,female,29,158,52.75,rectangle,1156-11_1.png,NaN,1156-11_2.png,NaN,NaN,NaN,1156-11_3.jpg,NaN,33.7,45,38.7,47.5,50,26,14.5,92.3,88.6,78,75.8,82,87.5,91,51,33.5,96,59,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1232,female,40,168,60,triangle,1157-12_1.png,NaN,1157-12_2.png,NaN,NaN,NaN,1157-12_6.jpg,NaN,34,39,43,40,53.5,26.5,16,92,90,82,74.5,79,90,97,52,35,106,69,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1233,female,29,185,56.7,rectangle,1158-13_1.png,NaN,1158-13_2.png,NaN,NaN,NaN,1158-13_5.jpg,NaN,33.8,37.5,41,46.5,52.5,27,15.5,89.5,89,79.5,74,75,87,88,49.5,35.5,93.5,66,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1234,female,34,188,65,rectangle,1159-14_1.png,NaN,1159-14_2.png,NaN,NaN,NaN,1159-14_5.jpg,NaN,36,39.5,43,48,49,32,16.5,97.5,95.5,86,80.5,90,96,101,58.5,38.5,87,65,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
